gene_id,gene_symbol,figure3_in_house_FFPE_resistance_group_Sample_GZ23090348_minus_R23104123_minus_R23104123_GZ23090348_minus_R23104123_minus_R23104123_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094716_minus_R23101817_minus_R23101817_GZ23094716_minus_R23101817_minus_R23101817_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094729_minus_R23101831_minus_R23101831_GZ23094729_minus_R23101831_minus_R23101831_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094731_minus_R23101833_minus_R23101833_GZ23094731_minus_R23101833_minus_R23101833_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094732_minus_R23101834_minus_R23101834_GZ23094732_minus_R23101834_minus_R23101834_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094709_minus_R23096232_minus_R23096232_GZ23094709_minus_R23096232_minus_R23096232_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094724_minus_R23101825_minus_R23101825_GZ23094724_minus_R23101825_minus_R23101825_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094725_minus_R23101826_minus_R23101826_GZ23094725_minus_R23101826_minus_R23101826_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094741_minus_R23101845_minus_R23101845_GZ23094741_minus_R23101845_minus_R23101845_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094742_minus_R23101846_minus_R23101846_GZ23094742_minus_R23101846_minus_R23101846_combined
ENSG00000187533|PRR27,ENSG00000187533|PRR27,0,0,30,0,0,0,0,0,0,0
ENSG00000187657|TSPY13P,ENSG00000187657|TSPY13P,0,0,0,0,0,0,0,0,0,0
ENSG00000188029|CTSL3P,ENSG00000188029|CTSL3P,0,0,0,0,0,0,0,0,0,0
ENSG00000188393|CLEC2A,ENSG00000188393|CLEC2A,0,0,0,0,0,0,0,0,0,0
ENSG00000188399|ANKRD36P1,ENSG00000188399|ANKRD36P1,0,0,0,0,0,0,0,0,0,0
ENSG00000188403|IGHV1OR15-9,ENSG00000188403|IGHV1OR15-9,0,0,0,0,0,0,0,0,0,0
ENSG00000188408|MAGEB5,ENSG00000188408|MAGEB5,0,0,0,0,0,0,0,0,0,0
ENSG00000188438|DEFB108F,ENSG00000188438|DEFB108F,0,0,0,0,0,0,0,0,0,0
ENSG00000188800|TMCO2,ENSG00000188800|TMCO2,0,0,0,0,0,0,0,0,0,0
ENSG00000189013|KIR2DL4,ENSG00000189013|KIR2DL4,0,0,0,0,0,0,0,0,0,0
ENSG00000189023|MAGEB16,ENSG00000189023|MAGEB16,0,0,5,0,0,0,0,0,0,0
ENSG00000189068|VSTM1,ENSG00000189068|VSTM1,0,0,0,0,0,0,0,0,0,0
ENSG00000189326|SPANXN4,ENSG00000189326|SPANXN4,0,0,3,0,0,0,0,0,0,0
ENSG00000189430|NCR1,ENSG00000189430|NCR1,0,0,5,1,0,0,0,0,0,0
ENSG00000196224|KRTAP5-3,ENSG00000196224|KRTAP5-3,0,0,5,0,0,0,0,0,0,0
ENSG00000196240|OR2T2,ENSG00000196240|OR2T2,0,0,19,0,0,0,2,0,0,0
ENSG00000196301|HLA-DRB9,ENSG00000196301|HLA-DRB9,0,0,0,0,0,0,0,0,0,0
ENSG00000196383|OR4Q2,ENSG00000196383|OR4Q2,0,0,14,0,0,0,0,0,0,0
ENSG00000196395,ENSG00000196395,0,0,0,0,0,0,0,0,0,0
ENSG00000196468|FGF16,ENSG00000196468|FGF16,0,0,12,0,0,0,0,0,0,0
ENSG00000196900|TEX43,ENSG00000196900|TEX43,0,0,0,0,0,0,0,0,0,0
ENSG00000197038|RBMY1A3P,ENSG00000197038|RBMY1A3P,0,0,0,0,0,0,0,0,0,0
ENSG00000197123|ZNF679,ENSG00000197123|ZNF679,0,0,10,0,0,0,0,0,0,0
ENSG00000197161|OR4C4P,ENSG00000197161|OR4C4P,0,0,0,0,0,0,0,0,0,0
ENSG00000197185|SSXP1,ENSG00000197185|SSXP1,0,0,0,0,0,0,0,0,0,0
ENSG00000197745|SCGB1D4,ENSG00000197745|SCGB1D4,0,0,0,0,0,0,0,0,0,0
ENSG00000197935|ZNF311,ENSG00000197935|ZNF311,7,1,6,5,8,0,0,0,0,3
ENSG00000198022|SAGE2P,ENSG00000198022|SAGE2P,0,0,13,0,0,0,0,0,0,0
ENSG00000198104|OR2T6,ENSG00000198104|OR2T6,0,0,24,0,0,0,0,0,0,0
ENSG00000198173|FAM47C,ENSG00000198173|FAM47C,0,0,11,0,0,0,0,0,0,0
ENSG00000198277,ENSG00000198277,0,0,5,0,0,0,0,0,0,0
ENSG00000198398|TMEM207,ENSG00000198398|TMEM207,0,0,8,0,0,0,0,0,0,0
ENSG00000198443|KRTAP4-1,ENSG00000198443|KRTAP4-1,0,0,4,0,0,0,0,0,0,0
ENSG00000198601|OR2M2,ENSG00000198601|OR2M2,0,0,4,0,0,0,0,0,0,0
ENSG00000198674|OR10G6,ENSG00000198674|OR10G6,0,0,7,0,0,0,0,0,0,0
ENSG00000198695|MT-ND6,ENSG00000198695|MT-ND6,0,0,0,0,0,0,0,0,0,0
ENSG00000198712|MT-CO2,ENSG00000198712|MT-CO2,0,0,0,0,0,0,0,0,0,0
ENSG00000198727|MT-CYB,ENSG00000198727|MT-CYB,0,0,0,0,0,0,0,0,0,0
